Year of divorce,Party to whom granted ,Total,Adultery,"Adultery, % ",Behaviour,Behaviour %,Desertion,"Desertion, %",Separation         (2 years and consent),"Separation (2 years and consent), %",Separation (5 years),Separation (5 years),Others1,"Others, %"
1974,Wife   ,72916,18403,25,23894,33,4629,6,16746,23,7833,11,1411,2
1974,Husband,37681,14879,39,2165,6,1868,5,10581,28,7766,21,422,1
1975,Wife   ,81407,20528,25,28668,35,4165,5,19312,24,7319,9,1415,2
1975,Husband,38385,15628,41,2390,6,1381,4,11814,31,6793,18,379,1
1976,Wife   ,87361,21337,24,33351,38,3935,5,20122,23,7134,8,1482,2
1976,Husband,38647,15591,40,2846,7,1188,3,12203,32,6445,17,374,1
1977,Wife   ,89081,21601,24,35078,39,3444,4,20779,23,6941,8,1238,1
1977,Husband,39411,15705,40,3187,8,1174,3,12462,32,6574,17,309,1
1978,Wife   ,98462,22883,23,40071,41,3557,4,23358,24,7543,8,1050,1
1978,Husband,44515,17642,40,4059,9,1298,3,14373,32,6850,15,293,1
1979,Wife   ,95733,23105,24,39137,41,2934,3,22981,24,6811,7,765,1
1979,Husband,41720,16974,41,3640,9,1144,3,13813,33,5924,14,225,1
1980,Wife   ,103218,25845,25,43129,42,2831,3,24195,23,6551,6,667,1
1980,Husband,43650,18340,42,4148,10,1087,2,14120,32,5753,13,202,0
1981,Wife   ,102148,25625,25,44482,44,2343,2,23348,23,5888,6,462,0
1981,Husband,42073,18262,43,4343,10,873,2,13399,32,5072,12,124,0
1982,Wife   ,103823,25267,24,47573,46,2104,2,22926,22,5531,5,422,0
1982,Husband,41375,18010,44,4767,12,771,2,12831,31,4867,12,129,0
1983,Wife   ,104860,25571,24,48849,47,1803,2,22850,22,5384,5,403,0
1983,Husband,41221,18151,44,5243,13,678,2,12219,30,4820,12,110,0
1984,Wife   ,102517,25370,25,47514,46,1462,1,22439,22,5370,5,362,0
1984,Husband,40648,17614,43,5499,14,561,1,12100,30,4774,12,100,0
1985,Wife   ,114769,27887,24,56867,50,1382,1,23252,20,4979,4,402,0
1985,Husband,44326,19560,44,7030,16,581,1,12501,28,4566,10,88,0
1986,Wife   ,109590,27000,25,55989,51,1015,1,20419,19,4828,4,339,0
1986,Husband,43232,19016,44,7514,17,459,1,11492,27,4656,11,95,0
1987,Wife   ,107556,26944,25,55844,52,866,1,18830,18,4725,4,347,0
1987,Husband,42568,18989,45,7846,18,418,1,10790,25,4388,10,137,0
1988,Wife   ,108755,26779,25,57454,53,763,1,18539,17,4921,5,299,0
1988,Husband,42977,18719,44,8659,20,360,1,10672,25,4468,10,99,0
1989,Wife   ,107763,25742,24,58013,54,764,1,18168,17,4753,4,323,0
1989,Husband,42350,18289,43,8703,21,349,1,10638,25,4280,10,91,0
1990,Wife   ,109565,25893,24,60010,55,694,1,17955,16,4702,4,311,0
1990,Husband,42958,18143,42,9370,22,330,1,10754,25,4261,10,100,0
1991,Wife   ,113946,26380,23,63329,56,734,1,18407,16,4821,4,275,0
1991,Husband,43959,18353,42,9937,23,348,1,11006,25,4209,10,106,0
1992,Wife,115392,26136,23,63752,55,706,1,19671,17,4870,4,257,0
1992,Husband,44195,17992,41,10154,23,315,1,11323,26,4311,10,100,0
1993,Wife,118122,26607,23,63948,54,747,1,21451,18,5118,4,251,0
1993,Husband,46081,17859,39,10632,23,371,1,12691,28,4435,10,93,0
1994,Wife,112407,24871,22,60309,54,677,1,21196,19,5129,5,225,0
1994,Husband,44914,16575,37,10618,24,384,1,12799,28,4458,10,80,0
1995,Wife,108759,23896,22,57027,52,698,1,21639,20,5375,5,124,0
1995,Husband,45817,16281,36,11136,24,410,1,13390,29,4552,10,48,0
1996,Wife,109484,23944,22,57673,53,635,1,21505,20,5644,5,83,0
1996,Husband,46707,16067,34,11309,24,395,1,13916,30,4978,11,42,0
1997,Wife,102172,22858,22,53845,53,537,1,19702,19,5138,5,92,0
1997,Husband,43739,14734,34,11202,26,375,1,12936,30,4454,10,38,0
1998,Wife,101576,22610,22,53803,53,492,0,19449,19,5148,5,74,0
1998,Husband,42898,13706,32,11450,27,298,1,12943,30,4466,10,35,0
1999,Wife   ,100470,21688,22,52961,53,426,0,19908,20,5420,5,67,0
1999,Husband,43411,12895,30,11856,27,287,1,13574,31,4772,11,27,0
2000,Wife   ,98227,21083,22,51494,52,411,0,19559,20,5647,6,33,0
2000,Husband,42311,12227,29,11688,28,269,1,13261,31,4851,12,15,0
2001,Wife   ,98992,20766,21,51982,53,412,0,19869,20,5953,6,10,0
2001,Husband,44378,12073,27,12786,29,277,1,13834,31,5402,12,6,0
2002,Wife   ,102676,20980,20,53330,52,419,0,21439,21,6505,6,3,0
2002,Husband,44694,11849,27,13150,29,262,1,14037,31,5391,12,5,0
2003,Wife   ,105912,21090,20,54815,52,397,0,22284,21,7321,7,5,0
2003,Husband,46790,12147,26,13921,30,267,1,14559,31,5888,13,8,0
2004,Wife   ,105051,20167,19,54309,52,424,0,22464,21,7682,7,5,0
2004,Husband,47507,11767,25,14314,30,230,0,14980,32,6213,13,3,0
2005,Wife   ,96551,17864,19,51040,53,357,0,20178,21,7052,7,60,0
2005,Husband,44466,10049,23,13920,31,234,1,14116,32,6108,14,39,0
2006,Wife   ,90300,16062,18,48609,54,288,0,18432,20,6771,7,138,0
2006,Husband,41570,8801,21,13405,32,210,1,13264,32,5830,14,60,0
2007,Wife   ,87075,14997,17,47185,54,281,0,17907,21,6547,8,158,0
2007,Husband,40815,8058,20,13613,33,170,0,13278,33,5632,14,64,0
2008,Wife   ,81393,13437,17,43773,54,276,0,17254,21,6505,8,148,0
2008,Husband,40085,7328,18,13790,34,230,1,12999,32,5670,14,68,0
2009,Wife   ,75782,12096,16,41091,54,239,0,16305,22,5915,8,136,0
2009,Husband,37988,6493,17,13266,35,195,1,12530,33,5438,14,66,0
2010,Wife   ,79124,12150,15,43186,55,276,0,16966,21,6430,8,116,0
2010,Husband,40301,6595,16,14516,36,214,1,12897,32,6016,15,63,0
2011,Wife,77016,11129,15,41835,54,319,0,16773,22,6801,9,159,0
2011,Husband,40369,6173,15,14597,36,216,1,13046,32,6319,16,18,0
2012,Wife,76400,10320,14,41248,54,385,1,16973,22,7231,9,243,0
2012,Husband,41542,5675,14,15210,37,334,1,13237,32,7047,17,39,0
