Country	X	Y	Colour
Iceland	300	100	#71b1c8
Norway	600	100	#55c6d9
Sweden	700	100	#288dc0
Finland	800	100	#5dade0
Denmark	600	200	#14bef0
Estonia	800	200	#a504a1
Latvia	900	200	#ee8fff
Russia	1100	100	#e2231a
Ireland	300	300	#3fae29
United Kingdom	400	300	#95d600
Netherlands	500	300	#ff5000
Germany	600	300	#fdb71a
Poland	700	300	#015cab
Hungary	800	300	#2d3494
Lithuania	900	300	#f437cc
Belarus	1000	300	#ad0a40
Ukraine	1100	300	#e40571
France	400	400	#f47521
Belgium	500	400	#ee961b
Luxembourg	600	400	#f26856
Austria	700	400	#e0601f
Slovakia	800	400	#006385
Romania	900	400	#005f9e
Moldova	1000	400	#cd163f
Georgia	1100	400	#562121
Azerbaijan	1200	400	#6d0020
Portugal	300	500	#62165c
Spain	400	500	#511c6c
Monaco	500	500	#b03f19
Switzerland	600	500	#efd800
Slovenia	700	500	#004e38
Bosnia-Herzegovina	800	500	#008145
Serbia	900	500	#29702a
Serbia & Montenegro	900	500	#29702a
Yugoslavia	900	500	#29702a
Bulgaria	1000	500	#20419a
Turkey	1100	500	#20aa97
Armenia	1200	500	#910c0c
Morocco	300	600	#00acbd
Malta	500	600	#70cacb
Italy	600	600	#e82c2a
Croatia	700	600	#2d903c
Albania	800	600	#005c56
Macedonia	900	600	#026937
Greece	1000	600	#007c89
Cyprus	1100	600	#22d3c5
Israel	1200	600	#00746d